Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size
frames,86797,0,1,HoloVTA_pretrain,191104_NVI12_D35,False
reward,100,0,5,HoloVTA_pretrain,191104_NVI12_D35,False
bmi,85512,-2,7,HoloVTA_pretrain,191104_NVI12_D35,False
holo,120,-90,6,HoloVTA_pretrain,191104_NVI12_D35,False
frames,1900,0,1,holostim_seq,191104_NVI12_D35,False
reward,0,0,5,holostim_seq,191104_NVI12_D35,False
bmi,1900,-1,1,holostim_seq,191104_NVI12_D35,False
holo,28,0,6,holostim_seq,191104_NVI12_D35,False
frames,27000,0,1,baseline,191104_NVI16_D35,False
reward,0,0,5,baseline,191104_NVI16_D35,False
bmi,26321,-3,7,baseline,191104_NVI16_D35,False
holo,0,0,6,baseline,191104_NVI16_D35,False
frames,75600,0,1,BMI,191104_NVI16_D35,False
reward,5,0,5,BMI,191104_NVI16_D35,False
bmi,74190,-2,7,BMI,191104_NVI16_D35,False
holo,0,0,6,BMI,191104_NVI16_D35,False
frames,88835,0,1,HoloVTA_pretrain,191104_NVI16_D35,False
reward,117,0,5,HoloVTA_pretrain,191104_NVI16_D35,False
bmi,87543,-2,7,HoloVTA_pretrain,191104_NVI16_D35,False
holo,128,-82,6,HoloVTA_pretrain,191104_NVI16_D35,False
frames,2100,0,1,holostim_seq,191104_NVI16_D35,False
reward,0,0,5,holostim_seq,191104_NVI16_D35,False
bmi,2100,0,1,holostim_seq,191104_NVI16_D35,False
holo,30,0,6,holostim_seq,191104_NVI16_D35,False
frames,27000,0,1,baseline,191108_NVI22_D04,False
reward,0,0,5,baseline,191108_NVI22_D04,False
bmi,26586,-2,7,baseline,191108_NVI22_D04,False
holo,0,0,6,baseline,191108_NVI22_D04,False
frames,75600,0,1,BMI,191108_NVI22_D04,False
reward,10,0,5,BMI,191108_NVI22_D04,False
bmi,74058,-2,7,BMI,191108_NVI22_D04,False
holo,0,0,6,BMI,191108_NVI22_D04,False
frames,81943,0,1,HoloVTA_pretrain,191108_NVI22_D04,False
reward,103,0,5,HoloVTA_pretrain,191108_NVI22_D04,False
bmi,80663,-2,7,HoloVTA_pretrain,191108_NVI22_D04,False
holo,124,-86,6,HoloVTA_pretrain,191108_NVI22_D04,False
frames,4300,0,1,holostim_seq,191108_NVI22_D04,False
reward,0,0,5,holostim_seq,191108_NVI22_D04,False
bmi,4300,0,1,holostim_seq,191108_NVI22_D04,False
holo,65,0,6,holostim_seq,191108_NVI22_D04,False
frames,27000,0,1,baseline,191108_NVI21_D04,False
reward,0,0,5,baseline,191108_NVI21_D04,False
bmi,26554,0,7,baseline,191108_NVI21_D04,False
holo,0,0,6,baseline,191108_NVI21_D04,False
frames,75600,0,1,BMI,191108_NVI21_D04,False
reward,35,0,5,BMI,191108_NVI21_D04,False
bmi,74594,-2,7,BMI,191108_NVI21_D04,False
holo,0,0,6,BMI,191108_NVI21_D04,False
frames,75611,0,1,HoloVTA_pretrain,191108_NVI21_D04,False
reward,105,0,5,HoloVTA_pretrain,191108_NVI21_D04,False
bmi,73205,-2,7,HoloVTA_pretrain,191108_NVI21_D04,False
holo,114,-96,6,HoloVTA_pretrain,191108_NVI21_D04,False
frames,3700,0,1,holostim_seq,191108_NVI21_D04,False
reward,0,0,5,holostim_seq,191108_NVI21_D04,False
bmi,3700,-1,1,holostim_seq,191108_NVI21_D04,False
holo,56,0,6,holostim_seq,191108_NVI21_D04,False
frames,27000,0,1,baseline,191108_NVI20_D04,False
reward,0,0,5,baseline,191108_NVI20_D04,False
bmi,25821,-1,7,baseline,191108_NVI20_D04,False
holo,0,0,6,baseline,191108_NVI20_D04,False
frames,75600,0,1,BMI,191108_NVI20_D04,False
reward,28,0,5,BMI,191108_NVI20_D04,False
bmi,72485,-2,7,BMI,191108_NVI20_D04,False
holo,0,0,6,BMI,191108_NVI20_D04,False
frames,100016,0,1,HoloVTA_pretrain,191108_NVI20_D04,False
reward,94,0,5,HoloVTA_pretrain,191108_NVI20_D04,False
bmi,98000,-3,7,HoloVTA_pretrain,191108_NVI20_D04,False
holo,145,-65,6,HoloVTA_pretrain,191108_NVI20_D04,False
frames,3500,0,1,holostim_seq,191108_NVI20_D04,False
reward,0,0,5,holostim_seq,191108_NVI20_D04,False
bmi,3500,0,1,holostim_seq,191108_NVI20_D04,False
holo,53,0,6,holostim_seq,191108_NVI20_D04,False
frames,27000,0,1,baseline,191108_NVI17_D04,False
reward,0,0,5,baseline,191108_NVI17_D04,False
bmi,25926,-1,7,baseline,191108_NVI17_D04,False
holo,0,0,6,baseline,191108_NVI17_D04,False
frames,75600,0,1,BMI,191108_NVI17_D04,False
reward,8,0,5,BMI,191108_NVI17_D04,False
bmi,73309,-2,7,BMI,191108_NVI17_D04,False
holo,0,0,6,BMI,191108_NVI17_D04,False
frames,83715,0,1,HoloVTA_pretrain,191108_NVI17_D04,False
reward,119,0,5,HoloVTA_pretrain,191108_NVI17_D04,False
bmi,81068,-3,7,HoloVTA_pretrain,191108_NVI17_D04,False
holo,126,-84,6,HoloVTA_pretrain,191108_NVI17_D04,False
frames,2300,0,1,holostim_seq,191108_NVI17_D04,False
reward,0,0,5,holostim_seq,191108_NVI17_D04,False
bmi,2300,0,1,holostim_seq,191108_NVI17_D04,False
holo,34,0,6,holostim_seq,191108_NVI17_D04,False
frames,27000,0,1,baseline,191110_NVI22_D06,False
reward,0,0,5,baseline,191110_NVI22_D06,False
bmi,25872,-1,7,baseline,191110_NVI22_D06,False
holo,0,0,6,baseline,191110_NVI22_D06,False
frames,75600,0,1,BMI,191110_NVI22_D06,False
reward,38,0,5,BMI,191110_NVI22_D06,False
bmi,74313,-2,7,BMI,191110_NVI22_D06,False
holo,0,0,6,BMI,191110_NVI22_D06,False
frames,76945,0,1,HoloVTA_pretrain,191110_NVI22_D06,False
reward,109,0,5,HoloVTA_pretrain,191110_NVI22_D06,False
bmi,75409,-3,7,HoloVTA_pretrain,191110_NVI22_D06,False
holo,116,-94,6,HoloVTA_pretrain,191110_NVI22_D06,False
frames,7100,0,1,holostim_seq,191110_NVI22_D06,True
reward,0,0,5,holostim_seq,191110_NVI22_D06,True
bmi,7091,-4,7,holostim_seq,191110_NVI22_D06,True
holo,110,0,6,holostim_seq,191110_NVI22_D06,True
frames,27000,0,1,baseline,191110_NVI21_D06,False
reward,0,0,5,baseline,191110_NVI21_D06,False
bmi,25548,-2,7,baseline,191110_NVI21_D06,False
holo,0,0,6,baseline,191110_NVI21_D06,False
frames,75600,0,1,BMI,191110_NVI21_D06,False
reward,4,0,5,BMI,191110_NVI21_D06,False
bmi,74478,-3,7,BMI,191110_NVI21_D06,False
holo,0,0,6,BMI,191110_NVI21_D06,False
frames,99369,0,1,HoloVTA_pretrain,191110_NVI21_D06,False
reward,100,0,5,HoloVTA_pretrain,191110_NVI21_D06,False
bmi,97701,-3,7,HoloVTA_pretrain,191110_NVI21_D06,False
holo,149,-61,6,HoloVTA_pretrain,191110_NVI21_D06,False
frames,2405,0,1,holostim_seq,191110_NVI21_D06,False
reward,0,0,5,holostim_seq,191110_NVI21_D06,False
bmi,2405,-2,1,holostim_seq,191110_NVI21_D06,False
holo,35,0,6,holostim_seq,191110_NVI21_D06,False
frames,27000,0,1,baseline,191110_NVI20_D06,False
reward,0,0,5,baseline,191110_NVI20_D06,False
bmi,25675,-2,7,baseline,191110_NVI20_D06,False
holo,0,0,6,baseline,191110_NVI20_D06,False
frames,75600,0,1,BMI,191110_NVI20_D06,False
reward,26,-2,5,BMI,191110_NVI20_D06,False
bmi,74352,-2,7,BMI,191110_NVI20_D06,False
holo,0,0,6,BMI,191110_NVI20_D06,False
frames,75681,0,1,HoloVTA_pretrain,191110_NVI20_D06,False
reward,107,0,5,HoloVTA_pretrain,191110_NVI20_D06,False
bmi,73699,-1,7,HoloVTA_pretrain,191110_NVI20_D06,False
holo,112,-98,6,HoloVTA_pretrain,191110_NVI20_D06,False
frames,3300,0,1,holostim_seq,191110_NVI20_D06,False
reward,0,0,5,holostim_seq,191110_NVI20_D06,False
bmi,3300,0,1,holostim_seq,191110_NVI20_D06,False
holo,49,0,6,holostim_seq,191110_NVI20_D06,False
frames,27000,0,1,baseline,191110_NVI17_D06,False
reward,0,0,5,baseline,191110_NVI17_D06,False
bmi,25050,-2,7,baseline,191110_NVI17_D06,False
holo,0,0,6,baseline,191110_NVI17_D06,False
frames,75600,0,1,BMI,191110_NVI17_D06,False
reward,34,-2,5,BMI,191110_NVI17_D06,False
bmi,74041,-3,7,BMI,191110_NVI17_D06,False
holo,0,0,6,BMI,191110_NVI17_D06,False
frames,100012,0,1,HoloVTA_pretrain,191110_NVI17_D06,True
reward,66,0,5,HoloVTA_pretrain,191110_NVI17_D06,True
bmi,97176,-670,7,HoloVTA_pretrain,191110_NVI17_D06,True
holo,141,-69,6,HoloVTA_pretrain,191110_NVI17_D06,True
frames,2400,0,1,holostim_seq,191110_NVI17_D06,False
reward,0,0,5,holostim_seq,191110_NVI17_D06,False
bmi,2400,-1,1,holostim_seq,191110_NVI17_D06,False
holo,36,0,6,holostim_seq,191110_NVI17_D06,False
frames,27000,0,1,baseline,191112_NVI22_D08,False
reward,0,0,5,baseline,191112_NVI22_D08,False
bmi,25603,-2,7,baseline,191112_NVI22_D08,False
holo,0,0,6,baseline,191112_NVI22_D08,False
frames,75600,0,1,BMI,191112_NVI22_D08,False
reward,14,0,5,BMI,191112_NVI22_D08,False
bmi,74507,-3,7,BMI,191112_NVI22_D08,False
holo,0,0,6,BMI,191112_NVI22_D08,False
frames,95711,0,1,HoloVTA_pretrain,191112_NVI22_D08,False
reward,48,0,5,HoloVTA_pretrain,191112_NVI22_D08,False
bmi,93260,-3,7,HoloVTA_pretrain,191112_NVI22_D08,False
holo,139,-71,6,HoloVTA_pretrain,191112_NVI22_D08,False
frames,2800,0,1,holostim_seq,191112_NVI22_D08,False
reward,0,0,5,holostim_seq,191112_NVI22_D08,False
bmi,2800,-1,1,holostim_seq,191112_NVI22_D08,False
holo,42,0,6,holostim_seq,191112_NVI22_D08,False
frames,27000,0,1,baseline,191112_NVI21_D08,False
reward,0,0,5,baseline,191112_NVI21_D08,False
bmi,26542,-1,7,baseline,191112_NVI21_D08,False
holo,0,0,6,baseline,191112_NVI21_D08,False
frames,75600,0,1,BMI,191112_NVI21_D08,False
reward,21,0,5,BMI,191112_NVI21_D08,False
bmi,74648,-2,7,BMI,191112_NVI21_D08,False
holo,0,0,6,BMI,191112_NVI21_D08,False
frames,81314,0,1,HoloVTA_pretrain,191112_NVI21_D08,False
reward,104,0,5,HoloVTA_pretrain,191112_NVI21_D08,False
bmi,80230,-3,7,HoloVTA_pretrain,191112_NVI21_D08,False
holo,121,-89,6,HoloVTA_pretrain,191112_NVI21_D08,False
frames,2200,0,1,holostim_seq,191112_NVI21_D08,False
reward,0,0,5,holostim_seq,191112_NVI21_D08,False
bmi,2200,-1,1,holostim_seq,191112_NVI21_D08,False
holo,32,0,6,holostim_seq,191112_NVI21_D08,False
frames,27000,0,1,baseline,191112_NVI20_D08,False
reward,0,0,5,baseline,191112_NVI20_D08,False
bmi,25654,-2,7,baseline,191112_NVI20_D08,False
holo,0,0,6,baseline,191112_NVI20_D08,False
frames,75600,0,1,BMI,191112_NVI20_D08,False
reward,38,0,5,BMI,191112_NVI20_D08,False
bmi,72319,-3,7,BMI,191112_NVI20_D08,False
holo,0,0,6,BMI,191112_NVI20_D08,False
frames,81482,0,1,HoloVTA_pretrain,191112_NVI20_D08,False
reward,116,0,5,HoloVTA_pretrain,191112_NVI20_D08,False
bmi,79395,-3,7,HoloVTA_pretrain,191112_NVI20_D08,False
holo,124,-86,6,HoloVTA_pretrain,191112_NVI20_D08,False
frames,2300,0,1,holostim_seq,191112_NVI20_D08,False
reward,0,0,5,holostim_seq,191112_NVI20_D08,False
bmi,2300,-1,1,holostim_seq,191112_NVI20_D08,False
holo,34,0,6,holostim_seq,191112_NVI20_D08,False
frames,27000,0,1,baseline,191112_NVI17_D08,False
reward,0,0,5,baseline,191112_NVI17_D08,False
bmi,24963,0,7,baseline,191112_NVI17_D08,False
holo,0,0,6,baseline,191112_NVI17_D08,False
frames,75600,0,1,BMI,191112_NVI17_D08,False
reward,22,0,5,BMI,191112_NVI17_D08,False
bmi,71908,-3,7,BMI,191112_NVI17_D08,False
holo,0,0,6,BMI,191112_NVI17_D08,False
frames,95776,0,1,HoloVTA_pretrain,191112_NVI17_D08,False
reward,96,0,5,HoloVTA_pretrain,191112_NVI17_D08,False
bmi,92887,-2,7,HoloVTA_pretrain,191112_NVI17_D08,False
holo,139,-71,6,HoloVTA_pretrain,191112_NVI17_D08,False
frames,3200,0,1,holostim_seq,191112_NVI17_D08,False
reward,0,0,5,holostim_seq,191112_NVI17_D08,False
bmi,3200,0,1,holostim_seq,191112_NVI17_D08,False
holo,46,0,6,holostim_seq,191112_NVI17_D08,False
frames,27000,0,1,baseline,191114_NVI22_D10,False
reward,0,0,5,baseline,191114_NVI22_D10,False
bmi,26528,-2,7,baseline,191114_NVI22_D10,False
holo,0,0,6,baseline,191114_NVI22_D10,False
frames,75600,0,1,BMI,191114_NVI22_D10,False
reward,29,0,5,BMI,191114_NVI22_D10,False
bmi,74526,-2,7,BMI,191114_NVI22_D10,False
holo,0,0,6,BMI,191114_NVI22_D10,False
frames,76305,0,1,HoloVTA_pretrain,191114_NVI22_D10,False
reward,107,0,5,HoloVTA_pretrain,191114_NVI22_D10,False
bmi,75202,-3,7,HoloVTA_pretrain,191114_NVI22_D10,False
holo,111,-99,6,HoloVTA_pretrain,191114_NVI22_D10,False
frames,4000,0,1,holostim_seq,191114_NVI22_D10,False
reward,0,0,5,holostim_seq,191114_NVI22_D10,False
bmi,3997,-1,7,holostim_seq,191114_NVI22_D10,False
holo,60,0,6,holostim_seq,191114_NVI22_D10,False
frames,27000,0,1,baseline,191114_NVI20_D10,False
reward,0,0,5,baseline,191114_NVI20_D10,False
bmi,25463,-1,7,baseline,191114_NVI20_D10,False
holo,0,0,6,baseline,191114_NVI20_D10,False
frames,75600,0,1,BMI,191114_NVI20_D10,False
reward,12,0,5,BMI,191114_NVI20_D10,False
bmi,74401,-2,7,BMI,191114_NVI20_D10,False
holo,0,0,6,BMI,191114_NVI20_D10,False
frames,84835,0,1,HoloVTA_pretrain,191114_NVI20_D10,False
reward,101,0,5,HoloVTA_pretrain,191114_NVI20_D10,False
bmi,83091,-3,7,HoloVTA_pretrain,191114_NVI20_D10,False
holo,129,-81,6,HoloVTA_pretrain,191114_NVI20_D10,False
frames,2812,0,1,holostim_seq,191114_NVI20_D10,False
reward,0,0,5,holostim_seq,191114_NVI20_D10,False
bmi,2812,-1,1,holostim_seq,191114_NVI20_D10,False
holo,42,0,6,holostim_seq,191114_NVI20_D10,False
frames,27000,0,1,baseline,191114_NVI17_D10,False
reward,0,0,5,baseline,191114_NVI17_D10,False
bmi,25587,-1,7,baseline,191114_NVI17_D10,False
holo,0,0,6,baseline,191114_NVI17_D10,False
frames,75600,0,1,BMI,191114_NVI17_D10,False
reward,5,0,5,BMI,191114_NVI17_D10,False
bmi,74453,-3,7,BMI,191114_NVI17_D10,False
holo,0,0,6,BMI,191114_NVI17_D10,False
frames,79881,0,1,HoloVTA_pretrain,191114_NVI17_D10,False
reward,100,0,5,HoloVTA_pretrain,191114_NVI17_D10,False
bmi,78051,-3,7,HoloVTA_pretrain,191114_NVI17_D10,False
holo,111,-99,6,HoloVTA_pretrain,191114_NVI17_D10,False
frames,2600,0,1,holostim_seq,191114_NVI17_D10,False
reward,0,0,5,holostim_seq,191114_NVI17_D10,False
bmi,2600,0,1,holostim_seq,191114_NVI17_D10,False
holo,38,0,6,holostim_seq,191114_NVI17_D10,False
frames,27000,0,1,baseline,191116_NVI22_D12,False
reward,0,0,5,baseline,191116_NVI22_D12,False
bmi,25670,-2,7,baseline,191116_NVI22_D12,False
holo,0,0,6,baseline,191116_NVI22_D12,False
frames,75600,0,1,BMI,191116_NVI22_D12,False
reward,29,0,5,BMI,191116_NVI22_D12,False
bmi,74388,-2,7,BMI,191116_NVI22_D12,False
holo,0,0,6,BMI,191116_NVI22_D12,False
frames,76088,0,1,HoloVTA_pretrain,191116_NVI22_D12,False
reward,105,0,5,HoloVTA_pretrain,191116_NVI22_D12,False
bmi,74373,-3,7,HoloVTA_pretrain,191116_NVI22_D12,False
holo,114,-96,6,HoloVTA_pretrain,191116_NVI22_D12,False
frames,3100,0,1,holostim_seq,191116_NVI22_D12,False
reward,0,0,5,holostim_seq,191116_NVI22_D12,False
bmi,3100,1,1,holostim_seq,191116_NVI22_D12,False
holo,46,0,6,holostim_seq,191116_NVI22_D12,False
frames,27000,0,1,baseline,191116_NVI20_D12,False
reward,0,0,5,baseline,191116_NVI20_D12,False
bmi,26586,-2,7,baseline,191116_NVI20_D12,False
holo,0,0,6,baseline,191116_NVI20_D12,False
frames,75600,0,1,BMI,191116_NVI20_D12,False
reward,40,-2,5,BMI,191116_NVI20_D12,False
bmi,72201,-3,7,BMI,191116_NVI20_D12,False
holo,0,0,6,BMI,191116_NVI20_D12,False
frames,98117,0,1,HoloVTA_pretrain,191116_NVI20_D12,False
reward,100,0,5,HoloVTA_pretrain,191116_NVI20_D12,False
bmi,96295,-3,7,HoloVTA_pretrain,191116_NVI20_D12,False
holo,145,-65,6,HoloVTA_pretrain,191116_NVI20_D12,False
frames,2900,0,1,holostim_seq,191116_NVI20_D12,False
reward,0,0,5,holostim_seq,191116_NVI20_D12,False
bmi,2900,0,1,holostim_seq,191116_NVI20_D12,False
holo,44,0,6,holostim_seq,191116_NVI20_D12,False
frames,27000,0,1,baseline,191116_NVI17_D12,False
reward,0,0,5,baseline,191116_NVI17_D12,False
bmi,26603,-2,7,baseline,191116_NVI17_D12,False
holo,0,0,6,baseline,191116_NVI17_D12,False
frames,75600,0,1,BMI,191116_NVI17_D12,False
reward,6,0,5,BMI,191116_NVI17_D12,False
bmi,72843,-2,7,BMI,191116_NVI17_D12,False
holo,0,0,6,BMI,191116_NVI17_D12,False
frames,77583,0,1,HoloVTA_pretrain,191116_NVI17_D12,False
reward,98,0,5,HoloVTA_pretrain,191116_NVI17_D12,False
bmi,76411,-3,7,HoloVTA_pretrain,191116_NVI17_D12,False
holo,117,-93,6,HoloVTA_pretrain,191116_NVI17_D12,False
frames,2900,0,1,holostim_seq,191116_NVI17_D12,False
reward,0,0,5,holostim_seq,191116_NVI17_D12,False
bmi,2899,0,7,holostim_seq,191116_NVI17_D12,False
holo,44,0,6,holostim_seq,191116_NVI17_D12,False
frames,27000,0,1,baseline,191118_NVI22_D14,False
reward,0,0,5,baseline,191118_NVI22_D14,False
bmi,26157,-1,7,baseline,191118_NVI22_D14,False
holo,0,0,6,baseline,191118_NVI22_D14,False
frames,75600,0,1,BMI,191118_NVI22_D14,False
reward,20,0,5,BMI,191118_NVI22_D14,False
bmi,74486,-2,7,BMI,191118_NVI22_D14,False
holo,0,0,6,BMI,191118_NVI22_D14,False
frames,83349,0,1,HoloVTA_pretrain,191118_NVI22_D14,True
reward,100,0,5,HoloVTA_pretrain,191118_NVI22_D14,True
bmi,81697,-14,7,HoloVTA_pretrain,191118_NVI22_D14,True
holo,123,-87,6,HoloVTA_pretrain,191118_NVI22_D14,True
frames,3400,0,1,holostim_seq,191118_NVI22_D14,False
reward,0,0,5,holostim_seq,191118_NVI22_D14,False
bmi,3400,0,1,holostim_seq,191118_NVI22_D14,False
holo,51,0,6,holostim_seq,191118_NVI22_D14,False
frames,27000,0,1,baseline,191118_NVI20_D14,False
reward,0,0,5,baseline,191118_NVI20_D14,False
bmi,25958,-2,7,baseline,191118_NVI20_D14,False
holo,0,0,6,baseline,191118_NVI20_D14,False
frames,75600,0,1,BMI,191118_NVI20_D14,False
reward,11,0,5,BMI,191118_NVI20_D14,False
bmi,74633,-2,7,BMI,191118_NVI20_D14,False
holo,0,0,6,BMI,191118_NVI20_D14,False
frames,80816,0,1,HoloVTA_pretrain,191118_NVI20_D14,False
reward,100,0,5,HoloVTA_pretrain,191118_NVI20_D14,False
bmi,79742,-3,7,HoloVTA_pretrain,191118_NVI20_D14,False
holo,121,-89,6,HoloVTA_pretrain,191118_NVI20_D14,False
frames,4200,0,1,holostim_seq,191118_NVI20_D14,False
reward,0,0,5,holostim_seq,191118_NVI20_D14,False
bmi,4197,-1,7,holostim_seq,191118_NVI20_D14,False
holo,64,0,6,holostim_seq,191118_NVI20_D14,False
frames,27000,0,1,baseline,191120_NVI22_D16,False
reward,0,0,5,baseline,191120_NVI22_D16,False
bmi,26592,-2,7,baseline,191120_NVI22_D16,False
holo,0,0,6,baseline,191120_NVI22_D16,False
frames,75600,0,1,BMI,191120_NVI22_D16,False
reward,11,0,5,BMI,191120_NVI22_D16,False
bmi,74488,-3,7,BMI,191120_NVI22_D16,False
holo,0,0,6,BMI,191120_NVI22_D16,False
frames,83797,0,1,HoloVTA_pretrain,191120_NVI22_D16,False
reward,100,0,5,HoloVTA_pretrain,191120_NVI22_D16,False
bmi,82561,-2,7,HoloVTA_pretrain,191120_NVI22_D16,False
holo,122,-88,6,HoloVTA_pretrain,191120_NVI22_D16,False
frames,3800,0,1,holostim_seq,191120_NVI22_D16,False
reward,0,0,5,holostim_seq,191120_NVI22_D16,False
bmi,3800,0,1,holostim_seq,191120_NVI22_D16,False
holo,56,0,6,holostim_seq,191120_NVI22_D16,False
frames,27000,0,1,baseline,191120_NVI20_D16,False
reward,0,0,5,baseline,191120_NVI20_D16,False
bmi,25498,-1,7,baseline,191120_NVI20_D16,False
holo,0,0,6,baseline,191120_NVI20_D16,False
frames,75600,0,1,BMI,191120_NVI20_D16,False
reward,37,-1,5,BMI,191120_NVI20_D16,False
bmi,74596,-2,7,BMI,191120_NVI20_D16,False
holo,0,0,6,BMI,191120_NVI20_D16,False
frames,75878,0,1,HoloVTA_pretrain,191120_NVI20_D16,False
reward,100,0,5,HoloVTA_pretrain,191120_NVI20_D16,False
bmi,74160,-3,7,HoloVTA_pretrain,191120_NVI20_D16,False
holo,116,-94,6,HoloVTA_pretrain,191120_NVI20_D16,False
frames,3300,0,1,holostim_seq,191120_NVI20_D16,False
reward,0,0,5,holostim_seq,191120_NVI20_D16,False
bmi,3300,0,1,holostim_seq,191120_NVI20_D16,False
holo,50,0,6,holostim_seq,191120_NVI20_D16,False
frames,27000,0,1,baseline,191120_NVI17_D16,False
reward,0,0,5,baseline,191120_NVI17_D16,False
bmi,25499,-1,7,baseline,191120_NVI17_D16,False
holo,0,0,6,baseline,191120_NVI17_D16,False
frames,75600,0,1,BMI,191120_NVI17_D16,True
reward,3,0,5,BMI,191120_NVI17_D16,True
bmi,72570,-1407,7,BMI,191120_NVI17_D16,True
holo,0,0,6,BMI,191120_NVI17_D16,True
frames,76132,0,1,HoloVTA_pretrain,191120_NVI17_D16,False
reward,102,0,5,HoloVTA_pretrain,191120_NVI17_D16,False
bmi,72655,-3,7,HoloVTA_pretrain,191120_NVI17_D16,False
holo,113,-97,6,HoloVTA_pretrain,191120_NVI17_D16,False
frames,3300,0,1,holostim_seq,191120_NVI17_D16,False
reward,0,0,5,holostim_seq,191120_NVI17_D16,False
bmi,3300,0,1,holostim_seq,191120_NVI17_D16,False
holo,49,0,6,holostim_seq,191120_NVI17_D16,False
frames,27000,0,1,baseline,191122_NVI22_D18,False
reward,0,0,5,baseline,191122_NVI22_D18,False
bmi,26320,-2,7,baseline,191122_NVI22_D18,False
holo,0,0,6,baseline,191122_NVI22_D18,False
frames,75600,0,1,BMI,191122_NVI22_D18,False
reward,27,0,5,BMI,191122_NVI22_D18,False
bmi,74461,-3,7,BMI,191122_NVI22_D18,False
holo,0,0,6,BMI,191122_NVI22_D18,False
frames,76244,0,1,HoloVTA_pretrain,191122_NVI22_D18,False
reward,101,0,5,HoloVTA_pretrain,191122_NVI22_D18,False
bmi,75006,-3,7,HoloVTA_pretrain,191122_NVI22_D18,False
holo,117,-93,6,HoloVTA_pretrain,191122_NVI22_D18,False
frames,4200,0,1,holostim_seq,191122_NVI22_D18,False
reward,0,0,5,holostim_seq,191122_NVI22_D18,False
bmi,4197,-1,7,holostim_seq,191122_NVI22_D18,False
holo,64,0,6,holostim_seq,191122_NVI22_D18,False
frames,27000,0,1,baseline,191122_NVI20_D18,False
reward,0,0,5,baseline,191122_NVI20_D18,False
bmi,25917,0,7,baseline,191122_NVI20_D18,False
holo,0,0,6,baseline,191122_NVI20_D18,False
frames,75600,0,1,VTA_pretrain,191122_NVI20_D18,False
reward,0,0,0,VTA_pretrain,191122_NVI20_D18,False
bmi,73118,-3,7,VTA_pretrain,191122_NVI20_D18,False
holo,0,0,0,VTA_pretrain,191122_NVI20_D18,False
frames,75600,0,1,BMI,191122_NVI20_D18,False
reward,41,0,5,BMI,191122_NVI20_D18,False
bmi,72645,-3,7,BMI,191122_NVI20_D18,False
holo,0,0,6,BMI,191122_NVI20_D18,False
frames,3100,0,1,holostim_seq,191122_NVI20_D18,False
reward,0,0,5,holostim_seq,191122_NVI20_D18,False
bmi,3100,0,1,holostim_seq,191122_NVI20_D18,False
holo,47,0,6,holostim_seq,191122_NVI20_D18,False
frames,27000,0,1,baseline,191122_NVI17_D18,False
reward,0,0,5,baseline,191122_NVI17_D18,False
bmi,25836,-1,7,baseline,191122_NVI17_D18,False
holo,0,0,6,baseline,191122_NVI17_D18,False
frames,75600,0,1,BMI,191122_NVI17_D18,False
reward,44,-1,5,BMI,191122_NVI17_D18,False
bmi,74296,-3,7,BMI,191122_NVI17_D18,False
holo,0,0,6,BMI,191122_NVI17_D18,False
frames,75738,0,1,HoloVTA_pretrain,191122_NVI17_D18,False
reward,100,0,5,HoloVTA_pretrain,191122_NVI17_D18,False
bmi,74099,-3,7,HoloVTA_pretrain,191122_NVI17_D18,False
holo,110,-100,6,HoloVTA_pretrain,191122_NVI17_D18,False
frames,3400,0,1,holostim_seq,191122_NVI17_D18,False
reward,0,0,5,holostim_seq,191122_NVI17_D18,False
bmi,3400,0,1,holostim_seq,191122_NVI17_D18,False
holo,52,0,6,holostim_seq,191122_NVI17_D18,False
